2	'E','F','G','H','I','J','K','L','M','N','O','P','Q'
4	'B','C','D'
6	'G','H','I','J','K','L','M','N','O','P','Q'
12	'H','I','J','K','L','M','N','O','P','Q'
16	'J','K','L','M','N','O','P','Q'
20	'K','L','M','N','O','P','Q'
22	'L','M','N','O','P','Q'
24	'M','N','O','P','Q'
26	'N','O','P','Q'
28	'O','P','Q'
16	6	0.000904502015685
6	28	0.00901514986965
26	28	0.534415719217
16	28	0.0184578637797
2	22	1.40808311672e-06
22	6	2.24115278859e-05
28	26	0.534415719217
26	6	0.000388710422001
6	26	0.000388710422001
12	6	0.425153524027
16	22	0.0334449624626
22	28	0.0580920923078
12	28	0.0106685857104
26	12	0.000731494622803
2	6	0.0184578637797
4	16	0.528785308624
24	4	0.362346034207
12	22	0.000178796070418
24	28	0.159322863929
2	28	0.00837331538274
22	12	0.000178796070418
4	26	0.303568717804
6	16	0.000904502015685
20	16	0.446862533345
26	24	0.494434156771
22	26	0.0800716408404
28	22	0.0580920923078
26	2	0.00022833515383
4	12	0.230544056587
2	12	0.000330015386374
28	12	0.0106685857104
12	2	0.000330015386374
28	16	0.0184578637797
22	16	0.0334449624626
12	24	0.000178796070418
28	6	0.00901514986965
6	4	0.144653250182
4	28	0.276597569879
16	4	0.528785308624
20	12	0.000904502015685
24	2	1.14019659944e-05
2	24	1.14019659944e-05
28	24	0.159322863929
4	6	0.144653250182
6	20	4.71850917768e-05
12	4	0.230544056587
24	12	0.000178796070418
16	26	0.00479867200463
6	2	0.0184578637797
4	22	0.425153524027
24	22	0.467765205115
22	20	0.457417901212
12	20	0.000904502015685
26	20	0.0167399479728
28	2	0.00837331538274
4	24	0.362346034207
16	12	0.0334449624626
20	22	0.457417901212
24	6	4.71850917768e-05
2	20	1.00312353506e-06
16	2	1.82941618901e-06
22	4	0.425153524027
28	20	0.0307491988374
26	4	0.303568717804
4	2	0.0711515568008
20	4	0.467765205115
20	24	0.0502199188911
24	16	0.00571175634441
20	6	4.71850917768e-05
12	26	0.000731494622803
2	4	0.0711515568008
28	4	0.276597569879
24	26	0.494434156771
6	24	4.71850917768e-05
12	16	0.0334449624626
26	16	0.00479867200463
16	24	0.00571175634441
2	26	0.00022833515383
22	2	1.40808311672e-06
20	28	0.0307491988374
6	22	2.24115278859e-05
2	16	1.82941618901e-06
22	24	0.467765205115
20	26	0.0167399479728
16	20	0.446862533345
6	12	0.425153524027
4	20	0.467765205115
24	20	0.0502199188911
20	2	1.00312353506e-06
26	22	0.0800716408404
